Câu hỏi,Câu trả lời
Phật Giáo có tính khoa học không?,"Khoa học là tri thức được kết hợp thành hệ thống, qua các dữ kiện được quan sát và thực nghiệm và đề ra các định luật tổng quát của thiên nhiên. Cốt lõi của Phật Giáo phù hợp với định nghĩa đó, bởi vì Tứ Diệu Đế hay Bốn Sự Thật Thâm Diệu, có thể được thử nghiệm và minh chứng bởi bất kỳ người nào, và ngay chính Đức Phật cũng đã từng nói với các đệ tử rằng họ phải thực chứng các lời dạy của Ngài, mà không nên chỉ tin suông. Phật Giáo dựa nhiều trên trí tuệ, hơn là lòng tin."
Có phải các tôn giáo khác đều sai lầm?,"Phật Giáo là một hệ thống tín ngưỡng có tính bao dung đối với các tín ngưỡng hay tôn giáo khác. Phật Giáo chấp nhận các lời giảng đạo đức của các tôn giáo khác, nhưng Phật Giáo còn tiến xa hơn, bằng cách cung ứng một mục tiêu dài hạn trong sự hiện hữu của chúng ta, qua trí tuệ và sự hiểu biết thật sự. Phật Giáo chân chính thì rất bao dung, và không quan tâm chi đến các nhãn hiệu như là ""tín hữu Ky-tô giáo"", ""tín hữu Hồi giáo"", ""tín hữu Ấn-độ giáo"", hay ""Phật tử"". Vì vậy, trong lịch sử, không bao giờ có các cuộc thánh chiến mang danh Phật Giáo. Cũng vì thế mà những người Phật tử không đi truyền giảng hay cải đạo người khác; họ chỉ giảng giải nếu được ai hỏi đến."
Phật Giáo là gì?,"Phật Giáo là một tôn giáo có khoảng 300 triệu tín đồ trên khắp thế giới. Danh từ Phật Giáo (Buddhism) phát nguồn từ chữ ""buddhi"", có nghĩa ""giác ngộ"", ""thức tỉnh"". Phật Giáo phát nguồn từ hơn 2,500 năm trước, khi Ngài Siddhattha Gotama (Sĩ-đạt-ta Cồ-đàm), hay Đức Phật, tự mình giác ngộ vào lúc 35 tuổi."
Có phải Phật Giáo chỉ thuần là một tôn giáo?,"Đối với nhiều người, Phật Giáo không phải chỉ là một tôn giáo mà còn có thể xem như là một triết học, hay đúng hơn, đó là ""một lối sống"". Gọi Phật Giáo là một triết học, vì danh từ ""triết học - philosophy"" có nghĩa là ""sự yêu chuộng trí tuệ"", và con đường của đạo Phật có thể tóm tắt như sau:  
(1) sống có đạo đức, 
(2) nhận thức rõ ràng về mọi ý nghĩ và hành động, và 
(3) phát triển sự hiểu biết và trí tuệ."
Phật Giáo giúp tôi bằng cách nào?,"Phật Giáo giải thích mục đích của đời sống, giải thích hiện tượng bất công và bất bình đẳng trên thế gian, và cung ứng một phương cách thực hành hay một lối sống để đưa đến hạnh phúc thật sự."
Tại sao Phật Giáo trở nên phổ biến?,"Phật Giáo ngày càng phổ biến ở các nước Tây phương vì nhiều lý do. Thứ nhất là vì Phật Giáo có những giải đáp cho nhiều vấn đề trong các xã hội vật chất hiện đại. Tiếp đến, cho những ai có chú tâm, Phật Giáo cung ứng một sự thông hiểu sâu sắc về tâm trí con người và các cách trị liệu tự nhiên, mà các nhà tâm lý nổi tiếng trên thế giới đều công nhận là rất cao cấp và rất hiệu quả."
Đức Phật là ai?,"Ngài Siddhattha Gotama sinh ra vào năm 563 trước Tây Lịch, trong một hoàng tộc tại Lumbini, nay thuộc xứ Nepal. Vào năm 29 tuổi, Ngài nhận thức rằng tiện nghi vật chất và an ninh trong thế gian không bảo đảm hạnh phúc; vì thế, Ngài đi tìm học các lời dạy, tôn giáo và triết học thời đó, để tìm kiếm chìa khóa đưa đến hạnh phúc. Sau sáu năm học tập và hành thiền, Ngài tìm ra con đường ""Trung Đạo"" và giác ngộ. Sau khi chứng đắc, Ngài dùng quảng đời còn lại tại thế gian để truyền giảng các nguyên lý trong đạo Phật -- gọi là Pháp, hay Chân lý, cho đến khi Ngài nhập diệt vào năm 80 tuổi."
Có phải Đức Phật là Thượng Đế?,"Không, Ngài không là Thượng Đế, và Ngài cũng không tuyên bố như thế. Ngài là người giảng dạy con đường đưa đến giác ngộ, từ kinh nghiệm thực chứng của Ngài."
Phật tử có tôn thờ các thần tượng không?,"Những người Phật tử tỏ lòng tôn kính các hình ảnh của Đức Phật, nhưng không tôn thờ, cũng không van xin những điều lợi lạc. Một pho tượng Phật ngồi trong tư thế với hai tay dịu dàng đặt trên vế, với nụ cười từ bi, nhắc nhở chúng ta nỗ lực phát triển tình thương và an định nội tâm. Lễ lạy tượng Phật là để tỏ lòng biết ơn về các lời dạy của Ngài."
Tại sao nhiều quốc gia Phật Giáo lại nghèo như vậy?,"Không hẳn đúng như vậy. Nhật Bản là một quốc gia có truyền thống Phật Giáo sâu đậm và ngày nay cũng là một quốc gia có kinh tế giàu mạnh. Thái Lan, với Phật giáo là quốc giáo, cũng có một nền kinh tế tương đối vững mạnh và phát triển. Tuy nhiên, chúng ta cần biết rằng một trong các điều dạy của Phật Giáo là tài sản của cải không bảo đảm được hạnh phúc, và tài sản của cải cũng không bao giờ thường còn. Dân chúng trong bất kỳ quốc gia nào cũng chịu đau khổ, cho dù họ giàu sang hay nghèo nàn. Chỉ những người nào thông hiểu các lời dạy trong Phật Giáo thì mới có thể tìm được hạnh phúc thật sự."
Có phải có nhiều tông phái Phật Giáo không?,"Có nhiều tông phái trong Phật Giáo là vì có những khác biệt về văn hóa và truyền thống lịch sử của mỗi quốc gia. Tuy nhiên, căn bản của Phật Giáo vẫn không thay đổi, đó là Pháp hay Chân lý."
Đức Phật đã dạy những gì?,"Đức Phật đã giảng dạy rất nhiều đề tài, nhưng các điều căn bản trong Phật Giáo có thể tóm tắt trong Tứ Diệu Đế và Bát Chánh Đạo."
Diệu đế thứ nhất là gì?,"Khổ Đế, chân lý thâm diệu đầu tiên, nói rằng đời sống là đau khổ, nghĩa là phải chịu đau đớn thể xác, già nua, bệnh hoạn, rồi chết. Ta cũng phải chịu đau khổ về mặt tâm lý như cô đơn, phiền giận, bực bội, sợ hãi, bối rối, thất vọng, sân hận. Đây là một sự kiện hiển nhiên, không thể chối cãi. Đây là thực tế khách quan, không phải bi quan; vì bi quan là mong đợi những điều gì trở nên tệ hại. Mặt khác, Phật Giáo giải thích cách thức giải quyết các đau khổ đó và cách thức để có hạnh phúc thật sự."
Diệu đế thứ nhì là gì?,"Tập Đế, chân lý thâm diệu thứ nhì, dạy rằng tất cả mọi đau khổ đều do ái dục và tham thủ. Ta sẽ bị phiền khổ nếu ta mong đợi người khác phải tuân theo ý muốn của mình, phải làm giống như mình, nếu ta không được những gì mình muốn, v.v. Ngay cả khi ta muốn và được, điều này cũng không bảo đảm có hạnh phúc. Tâm khát khao ham muốn cướp đoạt của ta niềm vui được thỏa lòng và hạnh phúc. Thay vì kiên trì chiến đấu để thành đạt điều mong muốn, hãy cố gắng sửa đổi chính cái lòng ước muốn của mình."
Diệu đế thứ ba là gì?,"Diệt Đế, chân lý thâm diệu thứ ba, là có thể chấm dứt đau khổ và đạt được trạng thái thỏa lòng và hạnh phúc. Khi ta dứt bỏ ái dục, vốn là vô ích, và tập sống từng ngày, chúng ta bắt đầu sống an vui và tự do. Chúng ta sẽ có nhiều thì giờ và năng lực để giúp đỡ người khác. Trạng thái ấy được gọi là Niết Bàn."
Diệu đế thứ tư là gì?,"Đạo Đế, chân lý thâm diệu thứ tư, là con đường đưa đến chấm dứt đau khổ. Con đường này gọi là Bát Chánh Ðạo."
Bát Chánh Đạo là gì?,"Đó là con đường gồm 8 yếu tố chân chánh: Chánh Kiến, Chánh Tư Duy, Chánh Ngữ, Chánh Nghiệp, Chánh Mạng, Chánh Tinh Tấn, Chánh Niệm, và Chánh Định. Đây là con đường của đạo đức và tỉnh thức -- qua lời nói, ý nghĩ và hành động, và phát triển trí tuệ bằng sự nhận thức rõ ràng về Tứ Diệu Đế và bằng sự tăng trưởng lòng từ bi."
Ngũ giới là gì?,"Đây là năm điều giới luật đạo đức của Phật Giáo. Đó là: không sát hại, không lấy của không cho, không tà dâm, không nói dối, và không dùng các chất say làm lu mờ trí óc."
